segment,count,mean,std,mae,rmse,r2
1291_2389,781,101.0,34.0,28.01806179037403,33.66944918003046,0.07497676477279647
1292_1293,836,45.0,15.0,11.971640342766891,14.529415548178468,0.031644572726316156
1293_1294,834,53.0,21.0,14.355279202535854,18.108053111179256,0.042013162987099784
1294_1295,836,79.0,33.0,23.91424372583635,29.90468627004374,0.09961303837419333
1295_1296,832,46.0,18.0,10.825904190940046,13.432780197807567,0.00430251003227744
1296_1297,824,67.0,38.0,15.795305379253284,22.368793670564884,0.10493470361327484
1297_1298,824,45.0,26.0,14.8829682057871,19.553600023917777,0.09538864739638153
1298_1121,276,115.0,55.0,34.50756403496462,43.17117572178093,0.20611947845798462
1298_1299,555,84.0,39.0,26.949128053117207,32.4529758360581,0.03469241745326512
1299_1300,825,66.0,39.0,22.351736365588536,28.70823724778509,0.14393064680869705
130_131,958,33.0,11.0,8.313491449766929,9.625931872980397,0.025254472557962426
1300_1301,1213,79.0,43.0,30.114992235736107,36.70515164531085,0.15675511841679934
1301_1302,1215,34.0,14.0,10.637983491829132,12.035297141972745,0.034635137913354375
1302_1303,1216,45.0,22.0,15.19952548730419,18.885469291652672,0.07160541066203918
1303_1304,833,27.0,14.0,9.53534041812621,11.263394453858357,0.04962593969118412
1303_5129,384,63.0,24.0,16.103247932246095,20.488507384663613,0.1551931512862038
1304_1305,826,72.0,35.0,22.361875800828052,28.195206498788842,0.06687963178814582
1305_1306,800,77.0,39.0,24.946096983126218,32.49951961294268,0.13655301576414136
1305_1320,553,97.0,49.0,31.87550849240584,40.59209350694567,0.15969698181208847
1306_1307,806,28.0,18.0,10.187855144594382,13.396147598609582,0.1133187242822612
1307_1308,787,20.0,14.0,5.653123033289533,7.669596339570803,-0.005849627536204549
1308_1309,791,38.0,25.0,13.774950716258356,17.81664095893071,0.0862484831507484
1309_1310,449,73.0,32.0,23.02701728187783,28.177827448150484,0.12130383648944276
131_164,548,64.0,13.0,9.822813278837264,12.284130488772899,-0.08999923720858316
1310_1311,471,66.0,26.0,17.966529717330562,22.146926506267892,0.12309826744466734
1311_1312,475,30.0,11.0,8.797037172769516,10.178374762907524,0.05078365192893253
1312_1313,475,24.0,12.0,9.477573737825285,10.582667295941219,0.04295674857187204
1313_1055,473,84.0,34.0,26.863420818318975,32.255706536952076,0.025401715408011505
1314_1316,424,31.0,12.0,8.953784025871325,10.085569649822533,0.09300113265297061
1315_1317,417,109.0,54.0,34.3974592986287,43.608668505806484,0.15175142458506496
1316_1315,423,27.0,14.0,9.459618855183042,10.532372532774362,0.08029140763741593
1317_1318,742,36.0,17.0,10.577185773228262,13.588573089500878,0.1457264992488697
1318_1319,743,34.0,15.0,10.472007296780006,12.753538364082107,0.0733689933085464
1319_1281,736,17.0,7.0,4.749891530765027,6.376144267971877,0.03288953557233798
1320_1321,551,48.0,18.0,11.166068158592207,14.71188496365293,0.09578880169504811
1321_1322,553,34.0,13.0,9.100512493674385,10.495785678249636,0.033024907723937735
1322_1323,556,32.0,13.0,9.506082649163343,11.584697204246803,0.011208800749164971
